127.0.0.1 - - [19/Jan/2023:15:57:01 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:57:02 +0530] "GET /MedicalProject/contact.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:57:02 +0530] "GET /MedicalProject/home1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:57:03 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:57:35 +0530] "GET /MedicalProject/contact.jsp?first_name=&last_name=&email=&comments= HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:58:24 +0530] "GET /MedicalProject/contact.jsp?first_name=&last_name=&email=&comments= HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:58:25 +0530] "GET /MedicalProject/contact.jsp?first_name=&last_name=&email=&comments= HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:01:20 +0530] "GET /MedicalProject/contact.jsp?first_name=&last_name=&email=&comments= HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:01:35 +0530] "GET /MedicalProject/contact.jsp?first_name=&last_name=&email=&comments= HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:01:47 +0530] "GET /MedicalProject/contact.jsp?first_name=&last_name=&email=&comments= HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:02:00 +0530] "GET /MedicalProject/contact.jsp?first_name=&last_name=&email=&comments= HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:02:24 +0530] "GET /MedicalProject/contact.jsp?first_name=&last_name=&email=&comments= HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:02:38 +0530] "GET /MedicalProject/contact.jsp?first_name=&last_name=&email=&comments= HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:02:50 +0530] "GET /MedicalProject/contact.jsp?first_name=&last_name=&email=&comments= HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:04:26 +0530] "GET /MedicalProject/contact.jsp?first_name=&last_name=&email=&comments= HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:05:01 +0530] "GET /MedicalProject/contact.jsp?first_name=&last_name=&email=&comments= HTTP/1.1" 200 1510
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:06:23 +0530] "GET /MedicalProject/contact.jsp?first_name=&last_name=&email=&comments= HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:06:48 +0530] "GET /MedicalProject/contact.jsp?first_name=&last_name=&email=&comments= HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:08:00 +0530] "GET /MedicalProject/contact.jsp?first_name=&last_name=&email=&comments= HTTP/1.1" 200 1446
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:08:32 +0530] "GET /MedicalProject/contact.jsp?first_name=&last_name=&email=&comments= HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:10:12 +0530] "GET /MedicalProject/contact.jsp?first_name=&last_name=&email=&comments= HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:15:49 +0530] "GET /MedicalProject/contact.html HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:18:30 +0530] "GET /MedicalProject/contact.html HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:18:45 +0530] "POST /MedicalProject/contactdata.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:18:45 +0530] "GET /MedicalProject/thumb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:23:17 +0530] "GET /MedicalProject/contact.html HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:23:25 +0530] "POST /MedicalProject/contactdata.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [19/Jan/2023:16:28:44 +0530] "GET /MedicalProject/contact.html HTTP/1.1" 304 -
