127.0.0.1 - - [20/Jan/2023:10:13:12 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:13:13 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:13:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:13:22 +0530] "POST /MedicalProject/ViewPage.jsp HTTP/1.1" 200 3594
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:13:22 +0530] "GET /MedicalProject/1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:13:48 +0530] "GET /MedicalProject/home.jsp HTTP/1.1" 200 7234
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:13:48 +0530] "GET /MedicalProject/lipuslide-p.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:13:48 +0530] "GET /MedicalProject/OMEE%20syrup.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:13:48 +0530] "GET /MedicalProject/Azee-500-tablet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:13:48 +0530] "GET /MedicalProject/Dicloplus%20tablet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:13:48 +0530] "GET /MedicalProject/oflokem.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:13:48 +0530] "GET /MedicalProject/Zendril.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:13:48 +0530] "GET /MedicalProject/nicip.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:13:48 +0530] "GET /MedicalProject/Omee-Capsule.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:13:48 +0530] "GET /MedicalProject/lomo%20tablet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:14:01 +0530] "GET /MedicalProject/About.jsp HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:14:01 +0530] "GET /MedicalProject/shop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:14:01 +0530] "GET /MedicalProject/caps.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:14:01 +0530] "GET /MedicalProject/syringe.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:14:55 +0530] "GET /MedicalProject/About.jsp HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:15:01 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 4027
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:15:10 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 4027
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:15:13 +0530] "GET /MedicalProject/service.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:15:25 +0530] "POST /MedicalProject/update.jsp HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:15:25 +0530] "GET /MedicalProject/thumb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:15:38 +0530] "GET /MedicalProject/contact.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:15:38 +0530] "GET /MedicalProject/home1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:15:42 +0530] "POST /MedicalProject/contactdata.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:16:00 +0530] "GET /MedicalProject/Address.jsp HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [20/Jan/2023:10:16:00 +0530] "GET /MedicalProject/pharmacy6.jpg HTTP/1.1" 304 -
