127.0.0.1 - - [28/Dec/2022:22:37:28 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:37:28 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:37:29 +0530] "GET /MedicalProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:37:29 +0530] "GET /MedicalProject/google.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:37:29 +0530] "GET /MedicalProject/fb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:37:29 +0530] "GET /MedicalProject/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:37:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:37:40 +0530] "POST /MedicalProject/ViewPage.jsp HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:37:40 +0530] "GET /MedicalProject/1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:37:40 +0530] "GET /MedicalProject/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:37:40 +0530] "GET /MedicalProject/home2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:37:45 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:42:27 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:47:25 +0530] "GET /MedicalProject/service.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:47:51 +0530] "POST /MedicalProject/services.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:49:51 +0530] "POST /MedicalProject/services.jsp HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:50:01 +0530] "POST /MedicalProject/services.jsp HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:50:47 +0530] "POST /MedicalProject/ViewPage.jsp HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:50:47 +0530] "GET /MedicalProject/1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:50:49 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:50:53 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:50:54 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:50:55 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:52:45 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:52:47 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:52:47 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:52:48 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:52:48 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:54:47 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:54:48 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:54:48 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:54:48 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:54:49 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:56:39 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:56:40 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:56:40 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:56:41 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:22:56:47 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2022:23:58:22 +0530] "GET /MedicalProject/service1.html HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [28/Dec/2022:23:59:20 +0530] "POST /MedicalProject/services.jsp HTTP/1.1" 500 10148
